task,seed,pass,correct,total,wall_seconds,agent_seconds,turns,cost_usd,run_reason,exit_code,run
task_05,2,True,97,97,166.448,162.796,13,0.7638,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-828Z_4c65e589_task_05_s2
task_05,3,True,97,97,180.441,177.125,15,0.7173,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-863Z_897a32d2_task_05_s3
task_05,4,True,97,97,202.773,199.069,17,0.9938,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-046Z_c6e4be6d_task_05_s4
task_05,5,True,97,97,169.013,165.308,14,0.8479,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-971Z_d686620c_task_05_s5
task_06,1,True,392,392,360.652,339.599,16,0.5729,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-865Z_922b4198_task_06_s1
task_06,2,True,392,392,343.614,323.535,13,0.5925,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-941Z_3d14b428_task_06_s2
task_06,3,True,392,392,357.304,336.19,16,0.7608,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-998Z_04f6b6af_task_06_s3
task_06,4,True,392,392,356.382,335.049,17,0.5662,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-795Z_9d862131_task_06_s4
task_06,5,True,392,392,357.523,336.673,18,0.7564,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-988Z_4541bd61_task_06_s5
task_07,1,False,25,25,163.298,160.589,13,0.7046,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-979Z_04d6a76e_task_07_s1
task_07,2,False,5,25,152.416,150.078,12,0.4921,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-029Z_5f86aabf_task_07_s2
task_07,3,False,5,25,164.562,161.809,9,0.4604,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-942Z_1ac249b3_task_07_s3
task_07,4,False,5,25,168.512,165.976,14,0.6727,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-004Z_8588c3b9_task_07_s4
task_07,5,False,5,25,180.782,178.427,13,0.5802,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-031Z_f99712d0_task_07_s5
task_08,1,False,120,168,126.901,125.504,17,0.7227,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-172Z_803fdf64_task_08_s1
task_08,2,True,168,168,126.547,125.196,14,0.7791,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-155Z_eb483b81_task_08_s2
task_08,3,False,120,168,102.425,100.9,13,0.4682,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-273Z_dd036ec3_task_08_s3
task_08,4,False,120,168,185.346,183.979,18,1.0525,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-334Z_ac3ec8c0_task_08_s4
task_08,5,True,168,168,110.738,109.274,12,0.5531,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-37-263Z_a718aa07_task_08_s5
task_09,1,True,21,21,171.848,168.862,11,0.4574,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-992Z_d3e8a1aa_task_09_s1
task_09,2,True,21,21,189.678,187.056,14,0.6022,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-982Z_cd102e6d_task_09_s2
task_09,3,True,21,21,164.797,161.416,10,0.4892,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-976Z_ff1a7261_task_09_s3
task_09,4,True,21,21,173.429,170.512,10,0.52,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-995Z_59a537f2_task_09_s4
task_09,5,True,21,21,170.953,168.103,11,0.5682,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-975Z_bae2e775_task_09_s5
task_10,1,False,729,740,359.283,357.301,30,2.0645,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-548Z_40313e05_task_10_s1
task_10,2,False,729,740,280.041,278.283,17,0.9481,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-538Z_196790aa_task_10_s2
task_10,3,False,729,740,323.347,321.308,28,1.6196,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-551Z_8a75c10a_task_10_s3
task_10,4,False,718,740,333.193,331.336,34,1.7971,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-533Z_98b20575_task_10_s4
task_10,5,False,729,740,309.992,307.812,22,1.4224,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-579Z_650e8543_task_10_s5
task_11,1,True,263,263,147.248,144.119,8,0.414,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-842Z_136b2e83_task_11_s1
task_11,2,True,263,263,163.993,160.628,11,0.5675,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-613Z_727c4fe7_task_11_s2
task_11,3,True,263,263,196.936,193.802,22,0.9103,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-729Z_d3de2297_task_11_s3
task_11,4,True,263,263,169.264,166.171,14,0.728,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-733Z_b323f5c1_task_11_s4
task_11,5,False,263,263,251.918,248.671,33,1.1459,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-699Z_dfc7d312_task_11_s5
task_12,1,False,417,2279,335.785,332.902,27,1.7139,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-490Z_1ba9ede5_task_12_s1
task_12,2,False,2020,2279,456.207,453.021,43,2.2495,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-540Z_9bc80f06_task_12_s2
task_12,3,False,2026,2279,414.692,411.452,36,1.874,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-530Z_bec38fc5_task_12_s3
task_12,4,False,2031,2279,419.916,416.828,42,2.2849,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-524Z_ad42d287_task_12_s4
task_12,5,False,427,2279,424.901,422.171,33,1.9017,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-517Z_0c597f8c_task_12_s5
task_13,1,False,168,174,165.634,164.06,15,0.9402,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-714Z_a95ebe77_task_13_s1
task_13,2,False,150,174,156.073,154.687,18,1.0174,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-714Z_17ede65a_task_13_s2
task_13,3,False,168,174,203.504,202.027,22,1.2457,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-741Z_10770ac7_task_13_s3
task_13,4,False,156,174,202.508,201.005,20,1.1827,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-717Z_f3e1ced4_task_13_s4
task_13,5,False,156,174,142.474,140.817,15,1.0599,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-570Z_4eada340_task_13_s5
task_14,1,True,15,15,252.171,249.087,23,1.0935,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-767Z_235da16d_task_14_s1
task_14,2,True,15,15,236.581,233.385,23,1.1391,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-739Z_97984a1e_task_14_s2
task_14,3,True,15,15,247.382,243.946,23,1.0602,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-747Z_9732fa38_task_14_s3
task_14,4,True,15,15,198.573,195.665,16,0.8384,done,0,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-742Z_c5be5692_task_14_s4
task_14,5,False,15,15,244.517,241.25,22,1.0098,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-693Z_94831183_task_14_s5
task_15,1,False,373,728,469.912,463.679,28,2.2509,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-418Z_ed0aa4a9_task_15_s1
task_15,2,False,395,728,458.218,451.008,36,2.4959,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-476Z_c22c6bca_task_15_s2
task_15,3,False,395,728,399.54,392.507,30,1.934,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-474Z_0ae52aa6_task_15_s3
task_15,4,False,387,728,517.544,511.393,24,1.9479,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-473Z_b5b3d3ee_task_15_s4
task_15,5,False,395,728,494.56,488.645,34,2.8992,done,1,/Users/minh/code/polar/tool-guidance-sweeps/20260924T204143Z-34ae551/gas-offline/runs/2026-09-24T20-43-36-494Z_f47a8d28_task_15_s5
